
2025-03-12T01:18:10.955Z [INFO] جاري تهيئة قاعدة البيانات...
2025-03-12T01:18:13.406Z [INFO] اكتملت عملية تهيئة قاعدة البيانات بنجاح
2025-03-12T01:18:30.711Z [INFO] GET /src/pages/inventory.tsx - 304 - 231ms
2025-03-12T01:18:30.715Z [INFO] GET /src/pages/sales.tsx - 304 - 234ms
2025-03-12T01:18:30.774Z [INFO] GET /src/components/ui/label.tsx - 304 - 231ms
2025-03-12T01:18:30.912Z [INFO] GET /src/components/ui/alert-dialog.tsx - 304 - 232ms
2025-03-12T01:18:30.961Z [INFO] GET /src/components/ui/dropdown-menu.tsx - 304 - 234ms
2025-03-12T01:18:31.175Z [INFO] GET /src/pages/InvoicesPage.tsx - 304 - 233ms
2025-03-12T01:18:31.190Z [INFO] GET /src/components/ui/data-table.tsx - 304 - 232ms
2025-03-12T01:18:31.190Z [INFO] GET /src/components/invoices/columns.tsx - 304 - 231ms
2025-03-12T01:18:31.237Z [INFO] GET /src/components/ui/date-range-picker.tsx - 304 - 234ms
2025-03-12T01:18:31.397Z [INFO] GET /src/hooks/use-debounce.ts - 304 - 232ms
2025-03-12T01:18:31.434Z [INFO] GET /src/pages/InvoiceDetailsPage.tsx - 304 - 231ms
2025-03-12T01:18:31.637Z [INFO] GET /src/pages/staff.tsx - 304 - 231ms
2025-03-12T01:18:31.657Z [INFO] GET /src/pages/settings.tsx - 304 - 235ms
2025-03-12T01:18:31.675Z [INFO] GET /src/pages/installments.tsx - 304 - 231ms
2025-03-12T01:18:31.704Z [INFO] GET /src/components/ui/sheet.tsx - 304 - 231ms
2025-03-12T01:18:31.856Z [INFO] GET /src/pages/marketing.tsx - 304 - 232ms
2025-03-12T01:18:31.908Z [INFO] GET /src/components/marketing/campaign-form.tsx - 304 - 231ms
2025-03-12T01:18:32.104Z [INFO] GET /src/components/marketing/social-accounts.tsx - 304 - 232ms
2025-03-12T01:18:32.119Z [INFO] GET /src/components/marketing/analytics-graphs.tsx - 304 - 230ms
2025-03-12T01:18:32.142Z [INFO] GET /src/components/marketing/performance-indicators.tsx - 304 - 231ms
2025-03-12T01:18:32.175Z [INFO] GET /src/pages/reports.tsx - 304 - 234ms
2025-03-12T01:18:32.321Z [INFO] GET /src/pages/expenses.tsx - 304 - 231ms
2025-03-12T01:18:32.376Z [INFO] GET /src/components/ui/textarea.tsx - 304 - 231ms
2025-03-12T01:18:32.583Z [INFO] GET /src/pages/suppliers.tsx - 304 - 231ms
2025-03-12T01:18:32.605Z [INFO] GET /src/pages/barcodes.tsx - 304 - 234ms
2025-03-12T01:18:32.618Z [INFO] GET /src/components/ui/sidebar.tsx - 304 - 232ms
2025-03-12T01:18:32.634Z [INFO] GET /src/pages/discount-codes.tsx - 304 - 231ms
2025-03-12T01:18:32.786Z [INFO] GET /src/components/ui/date-picker.tsx - 304 - 232ms
2025-03-12T01:18:32.849Z [INFO] GET /src/pages/customers.tsx - 304 - 234ms
2025-03-12T01:18:33.055Z [INFO] GET /src/pages/appointments.tsx - 304 - 233ms
2025-03-12T01:18:33.070Z [INFO] GET /src/components/ui/tooltip.tsx - 304 - 231ms
2025-03-12T01:18:33.089Z [INFO] GET /src/components/settings/change-password.tsx - 304 - 234ms
2025-03-12T01:18:33.097Z [INFO] GET /src/components/settings/theme-settings.tsx - 304 - 232ms
2025-03-12T01:18:33.249Z [INFO] GET /src/components/settings/api-keys-form.tsx - 304 - 233ms
2025-03-12T01:18:33.337Z [INFO] GET /src/components/settings/api-keys.config.ts - 304 - 231ms
2025-03-12T01:18:33.522Z [INFO] GET /src/components/ui/accordion.tsx - 304 - 232ms
2025-03-12T01:18:33.550Z [INFO] GET /src/components/ui/badge.tsx - 304 - 235ms
2025-03-12T01:18:33.559Z [INFO] GET /src/components/ai/inventory-forecasting.tsx - 304 - 231ms
2025-03-12T01:18:33.569Z [INFO] GET /src/components/ui-ar/notification-center.tsx - 304 - 230ms
2025-03-12T01:18:33.718Z [INFO] GET /src/components/icons/ShoppingCartIcon.tsx - 304 - 232ms
2025-03-12T01:18:33.808Z [INFO] GET /src/components/icons/BarChart3Icon.tsx - 304 - 232ms
2025-03-12T01:18:33.996Z [INFO] GET /src/components/ui/input.tsx - 304 - 232ms
2025-03-12T01:18:34.024Z [INFO] GET /src/components/ui/form.tsx - 304 - 231ms
2025-03-12T01:18:34.027Z [INFO] GET /src/components/ui/dialog.tsx - 304 - 234ms
2025-03-12T01:18:34.034Z [INFO] GET /src/hooks/use-toast.ts - 304 - 231ms
2025-03-12T01:18:34.225Z [INFO] GET /@fs/home/runner/workspace/shared/schema.ts - 304 - 268ms
2025-03-12T01:18:34.290Z [INFO] GET /src/components/ui/toast.tsx - 304 - 236ms
2025-03-12T01:18:34.458Z [INFO] GET /src/components/ui/alert.tsx - 304 - 234ms
2025-03-12T01:18:34.492Z [INFO] GET /src/components/dashboard/analytics-charts.tsx - 304 - 231ms
2025-03-12T01:18:34.493Z [INFO] GET /src/components/dashboard/stats-cards.tsx - 304 - 231ms
2025-03-12T01:18:34.522Z [INFO] GET /src/components/dashboard/exchange-rate.tsx - 304 - 232ms
2025-03-12T01:18:34.690Z [INFO] GET /src/components/ui/label.tsx - 304 - 233ms
2025-03-12T01:18:34.782Z [INFO] GET /src/components/ui/alert-dialog.tsx - 304 - 232ms
2025-03-12T01:18:34.930Z [INFO] GET /src/components/ui/dropdown-menu.tsx - 304 - 236ms
2025-03-12T01:18:34.976Z [INFO] GET /src/components/ui/data-table.tsx - 304 - 231ms
2025-03-12T01:18:34.976Z [INFO] GET /src/components/invoices/columns.tsx - 304 - 231ms
2025-03-12T01:18:34.987Z [INFO] GET /src/components/ui/date-range-picker.tsx - 304 - 233ms
2025-03-12T01:18:35.163Z [INFO] GET /src/hooks/use-debounce.ts - 304 - 233ms
2025-03-12T01:18:35.252Z [INFO] GET /src/components/ui/sheet.tsx - 304 - 234ms
2025-03-12T01:18:35.393Z [INFO] GET /src/components/marketing/campaign-form.tsx - 304 - 231ms
2025-03-12T01:18:35.457Z [INFO] GET /src/components/ui/separator.tsx - 304 - 231ms
2025-03-12T01:18:35.457Z [INFO] GET /src/components/marketing/social-accounts.tsx - 304 - 232ms
2025-03-12T01:18:35.466Z [INFO] GET /src/components/marketing/analytics-graphs.tsx - 304 - 231ms
2025-03-12T01:18:35.633Z [INFO] GET /src/components/marketing/performance-indicators.tsx - 304 - 232ms
2025-03-12T01:18:35.720Z [INFO] GET /src/components/ui/progress.tsx - 304 - 232ms
2025-03-12T01:18:35.863Z [INFO] GET /src/components/ui/textarea.tsx - 304 - 233ms
2025-03-12T01:18:35.923Z [INFO] GET /src/hooks/use-mobile.tsx - 304 - 231ms
2025-03-12T01:18:35.924Z [INFO] GET /src/components/ui/sidebar.tsx - 304 - 231ms
2025-03-12T01:18:35.943Z [INFO] GET /src/components/ui/skeleton.tsx - 304 - 234ms
2025-03-12T01:18:36.095Z [INFO] GET /src/components/ui/date-picker.tsx - 304 - 231ms
2025-03-12T01:18:36.192Z [INFO] GET /src/components/ui/tooltip.tsx - 304 - 234ms
2025-03-12T01:18:36.321Z [INFO] GET /src/components/settings/api-keys.config.ts - 304 - 231ms
2025-03-12T01:18:36.391Z [INFO] GET /src/components/ui/accordion.tsx - 304 - 231ms
2025-03-12T01:18:36.391Z [INFO] GET /src/components/ui/separator.tsx - 304 - 232ms
2025-03-12T01:18:36.400Z [INFO] GET /src/components/ui/progress.tsx - 304 - 231ms
2025-03-12T01:18:36.566Z [INFO] GET /src/hooks/use-mobile.tsx - 304 - 231ms
2025-03-12T01:18:36.778Z [INFO] GET /src/components/ui/skeleton.tsx - 304 - 232ms
2025-03-12T01:18:36.873Z [INFO] GET /api/auth/user - 401 - 233ms
2025-03-12T01:18:38.100Z [INFO] GET /api/auth/user - 401 - 232ms
